# ucsc	ensembl	genbank	refseq
chr1	1	CM008168.2	NC_037328.1
chr10	10	CM008177.2	NC_037337.1
chr11	11	CM008178.2	NC_037338.1
chr12	12	CM008179.2	NC_037339.1
chr13	13	CM008180.2	NC_037340.1
chr14	14	CM008181.2	NC_037341.1
chr15	15	CM008182.2	NC_037342.1
chr16	16	CM008183.2	NC_037343.1
chr17	17	CM008184.2	NC_037344.1
chr18	18	CM008185.2	NC_037345.1
chr19	19	CM008186.2	NC_037346.1
chr2	2	CM008169.2	NC_037329.1
chr20	20	CM008187.2	NC_037347.1
chr21	21	CM008188.2	NC_037348.1
chr22	22	CM008189.2	NC_037349.1
chr23	23	CM008190.2	NC_037350.1
chr24	24	CM008191.2	NC_037351.1
chr25	25	CM008192.2	NC_037352.1
chr26	26	CM008193.2	NC_037353.1
chr27	27	CM008194.2	NC_037354.1
chr28	28	CM008195.2	NC_037355.1
chr29	29	CM008196.2	NC_037356.1
chr3	3	CM008170.2	NC_037330.1
chr4	4	CM008171.2	NC_037331.1
chr5	5	CM008172.2	NC_037332.1
chr6	6	CM008173.2	NC_037333.1
chr7	7	CM008174.2	NC_037334.1
chr8	8	CM008175.2	NC_037335.1
chr9	9	CM008176.2	NC_037336.1
chrM	MT	AY526085.1	NC_006853.1
chrUn_NW_020190115v1	NKLS02000031.1	NKLS02000031.1	NW_020190115.1
chrUn_NW_020190116v1	NKLS02000032.1	NKLS02000032.1	NW_020190116.1
chrUn_NW_020190117v1	NKLS02000033.1	NKLS02000033.1	NW_020190117.1
chrUn_NW_020190118v1	NKLS02000034.1	NKLS02000034.1	NW_020190118.1
chrUn_NW_020190119v1	NKLS02000035.1	NKLS02000035.1	NW_020190119.1
chrUn_NW_020190120v1	NKLS02000036.1	NKLS02000036.1	NW_020190120.1
chrUn_NW_020190121v1	NKLS02000037.1	NKLS02000037.1	NW_020190121.1
chrUn_NW_020190122v1	NKLS02000038.1	NKLS02000038.1	NW_020190122.1
chrUn_NW_020190123v1	NKLS02000039.1	NKLS02000039.1	NW_020190123.1
chrUn_NW_020190124v1	NKLS02000040.1	NKLS02000040.1	NW_020190124.1
chrUn_NW_020190125v1	NKLS02000041.1	NKLS02000041.1	NW_020190125.1
chrUn_NW_020190126v1	NKLS02000042.1	NKLS02000042.1	NW_020190126.1
chrUn_NW_020190127v1	NKLS02000043.1	NKLS02000043.1	NW_020190127.1
chrUn_NW_020190128v1	NKLS02000044.1	NKLS02000044.1	NW_020190128.1
chrUn_NW_020190129v1	NKLS02000045.1	NKLS02000045.1	NW_020190129.1
chrUn_NW_020190130v1	NKLS02000046.1	NKLS02000046.1	NW_020190130.1
chrUn_NW_020190131v1	NKLS02000047.1	NKLS02000047.1	NW_020190131.1
chrUn_NW_020190132v1	NKLS02000048.1	NKLS02000048.1	NW_020190132.1
chrUn_NW_020190133v1	NKLS02000049.1	NKLS02000049.1	NW_020190133.1
chrUn_NW_020190134v1	NKLS02000050.1	NKLS02000050.1	NW_020190134.1
chrUn_NW_020190135v1	NKLS02000051.1	NKLS02000051.1	NW_020190135.1
chrUn_NW_020190136v1	NKLS02000052.1	NKLS02000052.1	NW_020190136.1
chrUn_NW_020190137v1	NKLS02000053.1	NKLS02000053.1	NW_020190137.1
chrUn_NW_020190138v1	NKLS02000054.1	NKLS02000054.1	NW_020190138.1
chrUn_NW_020190139v1	NKLS02000055.1	NKLS02000055.1	NW_020190139.1
chrUn_NW_020190140v1	NKLS02000056.1	NKLS02000056.1	NW_020190140.1
chrUn_NW_020190141v1	NKLS02000057.1	NKLS02000057.1	NW_020190141.1
chrUn_NW_020190142v1	NKLS02000058.1	NKLS02000058.1	NW_020190142.1
chrUn_NW_020190143v1	NKLS02000059.1	NKLS02000059.1	NW_020190143.1
chrUn_NW_020190144v1	NKLS02000060.1	NKLS02000060.1	NW_020190144.1
chrUn_NW_020190145v1	NKLS02000061.1	NKLS02000061.1	NW_020190145.1
chrUn_NW_020190146v1	NKLS02000062.1	NKLS02000062.1	NW_020190146.1
chrUn_NW_020190147v1	NKLS02000063.1	NKLS02000063.1	NW_020190147.1
chrUn_NW_020190148v1	NKLS02000064.1	NKLS02000064.1	NW_020190148.1
chrUn_NW_020190149v1	NKLS02000065.1	NKLS02000065.1	NW_020190149.1
chrUn_NW_020190150v1	NKLS02000066.1	NKLS02000066.1	NW_020190150.1
chrUn_NW_020190151v1	NKLS02000067.1	NKLS02000067.1	NW_020190151.1
chrUn_NW_020190152v1	NKLS02000068.1	NKLS02000068.1	NW_020190152.1
chrUn_NW_020190153v1	NKLS02000069.1	NKLS02000069.1	NW_020190153.1
chrUn_NW_020190154v1	NKLS02000070.1	NKLS02000070.1	NW_020190154.1
chrUn_NW_020190155v1	NKLS02000071.1	NKLS02000071.1	NW_020190155.1
chrUn_NW_020190156v1	NKLS02000072.1	NKLS02000072.1	NW_020190156.1
chrUn_NW_020190157v1	NKLS02000073.1	NKLS02000073.1	NW_020190157.1
chrUn_NW_020190158v1	NKLS02000074.1	NKLS02000074.1	NW_020190158.1
chrUn_NW_020190159v1	NKLS02000075.1	NKLS02000075.1	NW_020190159.1
chrUn_NW_020190160v1	NKLS02000076.1	NKLS02000076.1	NW_020190160.1
chrUn_NW_020190161v1	NKLS02000077.1	NKLS02000077.1	NW_020190161.1
chrUn_NW_020190162v1	NKLS02000078.1	NKLS02000078.1	NW_020190162.1
chrUn_NW_020190163v1	NKLS02000079.1	NKLS02000079.1	NW_020190163.1
chrUn_NW_020190164v1	NKLS02000080.1	NKLS02000080.1	NW_020190164.1
chrUn_NW_020190165v1	NKLS02000081.1	NKLS02000081.1	NW_020190165.1
chrUn_NW_020190166v1	NKLS02000082.1	NKLS02000082.1	NW_020190166.1
chrUn_NW_020190167v1	NKLS02000083.1	NKLS02000083.1	NW_020190167.1
chrUn_NW_020190168v1	NKLS02000084.1	NKLS02000084.1	NW_020190168.1
chrUn_NW_020190169v1	NKLS02000085.1	NKLS02000085.1	NW_020190169.1
chrUn_NW_020190170v1	NKLS02000086.1	NKLS02000086.1	NW_020190170.1
chrUn_NW_020190171v1	NKLS02000087.1	NKLS02000087.1	NW_020190171.1
chrUn_NW_020190172v1	NKLS02000088.1	NKLS02000088.1	NW_020190172.1
chrUn_NW_020190173v1	NKLS02000089.1	NKLS02000089.1	NW_020190173.1
chrUn_NW_020190174v1	NKLS02000090.1	NKLS02000090.1	NW_020190174.1
chrUn_NW_020190175v1	NKLS02000091.1	NKLS02000091.1	NW_020190175.1
chrUn_NW_020190176v1	NKLS02000092.1	NKLS02000092.1	NW_020190176.1
chrUn_NW_020190177v1	NKLS02000093.1	NKLS02000093.1	NW_020190177.1
chrUn_NW_020190178v1	NKLS02000094.1	NKLS02000094.1	NW_020190178.1
chrUn_NW_020190179v1	NKLS02000095.1	NKLS02000095.1	NW_020190179.1
chrUn_NW_020190180v1	NKLS02000096.1	NKLS02000096.1	NW_020190180.1
chrUn_NW_020190181v1	NKLS02000097.1	NKLS02000097.1	NW_020190181.1
chrUn_NW_020190182v1	NKLS02000098.1	NKLS02000098.1	NW_020190182.1
chrUn_NW_020190183v1	NKLS02000099.1	NKLS02000099.1	NW_020190183.1
chrUn_NW_020190184v1	NKLS02000100.1	NKLS02000100.1	NW_020190184.1
chrUn_NW_020190185v1	NKLS02000101.1	NKLS02000101.1	NW_020190185.1
chrUn_NW_020190186v1	NKLS02000102.1	NKLS02000102.1	NW_020190186.1
chrUn_NW_020190187v1	NKLS02000103.1	NKLS02000103.1	NW_020190187.1
chrUn_NW_020190188v1	NKLS02000104.1	NKLS02000104.1	NW_020190188.1
chrUn_NW_020190189v1	NKLS02000105.1	NKLS02000105.1	NW_020190189.1
chrUn_NW_020190190v1	NKLS02000106.1	NKLS02000106.1	NW_020190190.1
chrUn_NW_020190191v1	NKLS02000107.1	NKLS02000107.1	NW_020190191.1
chrUn_NW_020190192v1	NKLS02000108.1	NKLS02000108.1	NW_020190192.1
chrUn_NW_020190193v1	NKLS02000109.1	NKLS02000109.1	NW_020190193.1
chrUn_NW_020190194v1	NKLS02000110.1	NKLS02000110.1	NW_020190194.1
chrUn_NW_020190195v1	NKLS02000111.1	NKLS02000111.1	NW_020190195.1
chrUn_NW_020190196v1	NKLS02000112.1	NKLS02000112.1	NW_020190196.1
chrUn_NW_020190197v1	NKLS02000113.1	NKLS02000113.1	NW_020190197.1
chrUn_NW_020190198v1	NKLS02000114.1	NKLS02000114.1	NW_020190198.1
chrUn_NW_020190199v1	NKLS02000115.1	NKLS02000115.1	NW_020190199.1
chrUn_NW_020190200v1	NKLS02000116.1	NKLS02000116.1	NW_020190200.1
chrUn_NW_020190201v1	NKLS02000117.1	NKLS02000117.1	NW_020190201.1
chrUn_NW_020190202v1	NKLS02000118.1	NKLS02000118.1	NW_020190202.1
chrUn_NW_020190203v1	NKLS02000119.1	NKLS02000119.1	NW_020190203.1
chrUn_NW_020190204v1	NKLS02000120.1	NKLS02000120.1	NW_020190204.1
chrUn_NW_020190205v1	NKLS02000121.1	NKLS02000121.1	NW_020190205.1
chrUn_NW_020190206v1	NKLS02000122.1	NKLS02000122.1	NW_020190206.1
chrUn_NW_020190207v1	NKLS02000123.1	NKLS02000123.1	NW_020190207.1
chrUn_NW_020190208v1	NKLS02000124.1	NKLS02000124.1	NW_020190208.1
chrUn_NW_020190209v1	NKLS02000125.1	NKLS02000125.1	NW_020190209.1
chrUn_NW_020190210v1	NKLS02000126.1	NKLS02000126.1	NW_020190210.1
chrUn_NW_020190211v1	NKLS02000127.1	NKLS02000127.1	NW_020190211.1
chrUn_NW_020190212v1	NKLS02000128.1	NKLS02000128.1	NW_020190212.1
chrUn_NW_020190213v1	NKLS02000129.1	NKLS02000129.1	NW_020190213.1
chrUn_NW_020190214v1	NKLS02000130.1	NKLS02000130.1	NW_020190214.1
chrUn_NW_020190215v1	NKLS02000131.1	NKLS02000131.1	NW_020190215.1
chrUn_NW_020190216v1	NKLS02000132.1	NKLS02000132.1	NW_020190216.1
chrUn_NW_020190217v1	NKLS02000133.1	NKLS02000133.1	NW_020190217.1
chrUn_NW_020190218v1	NKLS02000134.1	NKLS02000134.1	NW_020190218.1
chrUn_NW_020190219v1	NKLS02000135.1	NKLS02000135.1	NW_020190219.1
chrUn_NW_020190220v1	NKLS02000136.1	NKLS02000136.1	NW_020190220.1
chrUn_NW_020190221v1	NKLS02000137.1	NKLS02000137.1	NW_020190221.1
chrUn_NW_020190222v1	NKLS02000138.1	NKLS02000138.1	NW_020190222.1
chrUn_NW_020190223v1	NKLS02000139.1	NKLS02000139.1	NW_020190223.1
